t,ax,ay,az,magnitud,etiqueta,registro
4.34517425,-2.1686945615144184,1.895668468861135,0.34929408456003835,2.901517086367952,caminata,caminata/caminata_001
4.35513325,-2.217092345727824,1.8062353417664352,0.09125563420566515,2.861173215676621,caminata,caminata/caminata_001
4.36509325,-2.170692033968476,1.6700927042793186,-0.1969688936591692,2.7458897086901586,caminata,caminata/caminata_001
4.37505225,-2.024915572266535,1.495566781787445,-0.5041256863768118,2.5673226874038364,caminata,caminata/caminata_001
4.38501225,-1.7816350290559728,1.2935528954338225,-0.817262210455963,2.348493131921801,caminata,caminata/caminata_001
4.394971208,-1.4492505376144644,1.0772765109424747,-1.1227021490032871,2.1263376771295768,caminata,caminata/caminata_001
4.404931208,-1.0423006702577053,0.8618171884726236,-1.4071049767175379,1.9516823432797106,caminata,caminata/caminata_001
4.414890208,-0.5806144387314581,0.6633220469534407,-1.6585188738331262,1.8782422951522122,caminata,caminata/caminata_001
4.424850208,-0.0880442711345315,0.49787214660668083,-1.8673266208788277,1.9345638208880824,caminata,caminata/caminata_001
4.434810208,0.4091450582748851,0.3800260554713528,-2.0269799226786924,2.102490686897422,caminata,caminata/caminata_001
4.444769208,0.8841180189523387,0.3211434585628692,-2.1344250238808904,2.3325025133926154,caminata,caminata/caminata_001
4.454729208,1.3113928957226944,0.3276755826705033,-2.190148439809575,2.573688559797149,caminata,caminata/caminata_001
4.464688208,1.6686816412325811,0.39967947032415374,-2.1978189102064833,2.788305948214161,caminata,caminata/caminata_001
4.474648208,1.9384785557895632,0.5298476466899359,-2.1635654089391982,2.952871978043934,caminata,caminata/caminata_001
4.484607208,2.1092566833137996,0.7033244383071185,-2.094998094320048,3.0549379759380693,caminata,caminata/caminata_001
4.494567208,2.176175879501119,0.8984956126667901,-2.000131416384189,3.089265528780419,caminata,caminata/caminata_001
4.504526208,2.141260880831261,1.0887948698719883,-1.886389455942678,3.0543309591348384,caminata,caminata/caminata_001
4.514486208,2.0130597990710917,1.2453927258119784,-1.7598542109893671,2.9496609364600777,caminata,caminata/caminata_001
4.524445208,1.8058359129668613,1.3404583696541876,-1.6248615352348856,2.7745354555353385,caminata,caminata/caminata_001
4.534405208,1.5383767968835922,1.3505547881000362,-1.483972069658597,2.528393661670701,caminata,caminata/caminata_001
4.544365208,1.2325262613552097,1.2596742681756583,-1.3382672475712065,2.212884875621853,caminata,caminata/caminata_001
4.554324208,0.9115580755135246,1.0614590877689198,-1.1878631544042413,1.8353888943851497,caminata,caminata/caminata_001
4.564284208,0.5985169132264664,0.7602729173375502,-1.032509461673321,1.4150311631550798,caminata,caminata/caminata_001
4.574243208,0.3146508549757324,0.37096566673404563,-0.8721476145591062,0.9986301357427252,caminata,caminata/caminata_001
4.584203208,0.07804899879694423,-0.08262916034465446,-0.7073333052679341,0.716407446285791,caminata,caminata/caminata_001
4.594162208,-0.09742412114765046,-0.5702473399867464,-0.5394700047038481,0.7910128786047177,caminata,caminata/caminata_001
4.604122208,-0.20283646970917749,-1.0584471807192304,-0.37084117315927057,1.1397263897649792,caminata,caminata/caminata_001
4.614081208,-0.23451248209878503,-1.514140185082953,-0.204461564576516,1.5457752539526077,caminata,caminata/caminata_001
4.624041208,-0.19397921413851063,-1.9079642993937518,-0.04379053833978824,1.9182995893569315,caminata,caminata/caminata_001
4.634000208,-0.08756747760387032,-2.2171080109382073,0.10763667037995947,2.221445846315134,caminata,caminata/caminata_001
4.643960208,0.07427964773013537,-2.4272806653369927,0.24659859267393064,2.4409055205588093,caminata,caminata/caminata_001
4.653919208,0.27792544612537096,-2.533642238884868,0.37053859346733925,2.575632814963008,caminata,caminata/caminata_001
